,item_id,product_category_name,month_year,qty,total_price,unit_price,product_name_lenght,product_description_lenght,customers,holiday,volume,comp_price
0,bed1,bed_bath_table,01-05-2017,1,45.95,45.95,39,161,57,1,3800,45.95
1,bed1,bed_bath_table,01-06-2017,3,137.85,45.95,39,161,61,1,3800,45.95
2,bed1,bed_bath_table,01-07-2017,6,275.7,45.95,39,161,123,1,3800,45.95
3,bed1,bed_bath_table,01-08-2017,4,183.8,45.95,39,161,90,1,3800,45.95
4,bed1,bed_bath_table,01-09-2017,2,91.9,45.95,39,161,54,1,3800,45.95
5,bed1,bed_bath_table,01-10-2017,3,137.85,45.95,39,161,50,2,3800,45.95
6,bed1,bed_bath_table,01-11-2017,11,445.85,40.53181818,39,161,97,4,3800,40.53181818
7,bed1,bed_bath_table,01-12-2017,6,239.94,39.99,39,161,41,1,3800,39.99
8,bed1,bed_bath_table,01-01-2018,19,759.81,39.99,39,161,62,2,3800,39.99
9,bed1,bed_bath_table,01-02-2018,18,719.82,39.99,39,161,62,2,3800,39.99
10,bed1,bed_bath_table,01-03-2018,17,679.83,39.99,39,161,43,1,3800,39.99
11,bed1,bed_bath_table,01-04-2018,13,519.87,39.99,39,161,34,1,3800,39.99
12,bed1,bed_bath_table,01-05-2018,19,759.81,39.99,39,161,57,3,3800,39.99
13,bed1,bed_bath_table,01-06-2018,5,199.95,39.99,39,161,43,0,3800,39.99
14,bed1,bed_bath_table,01-07-2018,8,319.92,39.99,39,161,26,1,3800,39.99
15,bed1,bed_bath_table,01-08-2018,8,313.92,39.24,39,161,15,1,3800,39.24
16,garden5,garden_tools,01-03-2017,6,419.4,69.9,36,450,21,1,19656,69.9
17,garden5,garden_tools,01-04-2017,3,247.9,82.63333333,36,450,17,2,19656,82.63333333
18,garden5,garden_tools,01-05-2017,20,1956.0,97.58823529,36,450,34,1,19656,97.58823529
19,garden5,garden_tools,01-06-2017,8,712.0,89.0,36,450,26,1,19656,89.0
20,garden5,garden_tools,01-07-2017,10,890.0,89.0,36,450,74,1,19656,59.9
21,garden5,garden_tools,01-08-2017,7,683.0,97.33333333,36,450,113,1,19656,59.9
22,garden5,garden_tools,01-09-2017,9,891.0,99.0,36,450,115,1,19656,59.9
23,garden5,garden_tools,01-10-2017,14,1386.0,99.0,36,450,146,2,19656,59.9
24,garden5,garden_tools,01-11-2017,17,1683.0,99.0,36,450,339,4,19656,53.78571429
25,garden5,garden_tools,01-12-2017,11,1089.0,99.0,36,450,184,1,19656,55.75
26,garden5,garden_tools,01-01-2018,4,398.0,99.5,36,450,137,2,19656,49.9
27,garden5,garden_tools,01-02-2018,2,202.0,101.0,36,450,160,2,19656,50.35714286
28,garden5,garden_tools,01-03-2018,1,101.0,101.0,36,450,116,1,19656,53.9
29,garden5,garden_tools,01-04-2018,1,101.0,101.0,36,450,111,1,19656,53.9
30,consoles1,consoles_games,01-07-2017,13,258.7,19.9,49,100,13,1,2304,19.9
31,consoles1,consoles_games,01-08-2017,24,477.6,19.9,49,100,33,1,2304,19.9
32,consoles1,consoles_games,01-09-2017,9,179.1,19.9,49,100,17,1,2304,19.9
33,consoles1,consoles_games,01-10-2017,28,603.2,21.54285714,49,100,38,2,2304,21.54285714
34,consoles1,consoles_games,01-11-2017,28,686.0,24.5,49,100,49,4,2304,24.5
35,consoles1,consoles_games,01-12-2017,16,392.0,24.5,49,100,30,1,2304,24.5
36,consoles1,consoles_games,01-02-2018,5,162.5,32.5,49,100,6,2,2304,32.5
37,consoles1,consoles_games,01-03-2018,6,195.0,32.5,49,100,13,1,2304,32.5
38,consoles1,consoles_games,01-04-2018,7,245.4,35.05714286,49,100,13,1,2304,35.05714286
39,consoles1,consoles_games,01-05-2018,3,108.6,36.2,49,100,3,3,2304,36.2
40,consoles1,consoles_games,01-06-2018,2,72.4,36.2,49,100,2,0,2304,36.2
